,id,borough,neighbourhood,host_id,availability_365
60,15385,brooklyn,williamsburg,60252,263
61,15396,manhattan,chelsea,60278,180
62,15711,manhattan,upper east side,61491,231
63,16326,brooklyn,prospect heights,63588,297
64,16338,brooklyn,clinton hill,63613,292
65,16421,manhattan,hell's kitchen,63924,191
66,16458,brooklyn,park slope,64056,0
67,16580,manhattan,east village,64442,72
68,16595,brooklyn,williamsburg,64522,362
69,16821,manhattan,east village,4396,336
70,16974,manhattan,east harlem,65837,215
71,17037,manhattan,east village,66035,116
72,17092,manhattan,hell's kitchen,66243,88
73,17693,manhattan,washington heights,68428,336
74,17747,brooklyn,clinton hill,68599,304
75,18127,manhattan,east village,69829,224
76,18152,manhattan,upper east side,69942,322
77,18198,queens,woodside,70091,324
78,18590,brooklyn,fort greene,71512,132
79,18728,manhattan,chelsea,71876,295
80,18764,brooklyn,williamsburg,72014,238
81,19159,manhattan,harlem,73051,209
82,19169,manhattan,lower east side,73128,328
83,19282,brooklyn,flatbush,73469,38
84,19319,manhattan,lower east side,44263,188
85,19601,brooklyn,brooklyn heights,74303,7
86,19812,brooklyn,williamsburg,74857,272
87,20299,manhattan,east village,62407,26
88,20300,manhattan,east village,76627,0
89,20611,brooklyn,williamsburg,72014,288
90,20724,brooklyn,bushwick,961342,317
91,20734,brooklyn,prospect heights,78460,207
92,20755,brooklyn,clinton hill,51038,185
93,20853,brooklyn,prospect heights,79070,158
94,20913,brooklyn,williamsburg,79402,0
95,21293,brooklyn,bushwick,44145,9
96,21456,manhattan,upper west side,42032,198
97,21644,manhattan,harlem,82685,365
98,21794,manhattan,chelsea,83257,364
99,22911,brooklyn,bedford-stuyvesant,87773,311
100,22918,manhattan,harlem,32294,219
101,23135,brooklyn,carroll gardens,11481,342
102,23501,manhattan,washington heights,63318,312
103,23686,manhattan,west village,93790,243
104,24143,brooklyn,williamsburg,97219,152
105,24285,brooklyn,park slope,97797,9
106,25235,brooklyn,bedford-stuyvesant,87773,137
107,25406,brooklyn,williamsburg,105538,222
108,25696,manhattan,harlem,107628,346
109,26012,brooklyn,gowanus,109589,208
110,26362,manhattan,hell's kitchen,59734,279
111,26520,brooklyn,clinton hill,51038,250
112,26559,manhattan,east village,112793,164
113,26785,brooklyn,south slope,42273,192
114,26933,manhattan,east village,72062,298
115,26954,manhattan,kips bay,115157,260
116,26969,brooklyn,williamsburg,115307,107
117,27006,manhattan,upper west side,115560,199
118,27385,manhattan,east village,72062,299
119,27531,brooklyn,south slope,118971,20
120,27644,manhattan,harlem,119510,318
121,27659,brooklyn,south slope,119588,216
122,27759,manhattan,upper west side,119900,224
123,27883,manhattan,east village,120223,0
124,28321,brooklyn,prospect-lefferts gardens,65091,324
125,28396,brooklyn,williamsburg,6197784,245
126,28907,manhattan,upper east side,124352,189
127,29012,manhattan,washington heights,124797,307
128,29013,brooklyn,bedford-stuyvesant,35935,310
129,29455,manhattan,harlem,126607,213
130,29628,brooklyn,clinton hill,127608,278
131,29683,manhattan,east village,125857,209
132,30031,brooklyn,greenpoint,129352,0
133,30927,manhattan,lower east side,120335,16
134,31130,manhattan,hell's kitchen,117287,234
135,31555,manhattan,west village,135619,12
136,31902,brooklyn,flatlands,137292,178
137,31994,brooklyn,clinton hill,137814,275
138,32023,brooklyn,bedford-stuyvesant,137974,163
139,32037,brooklyn,clinton hill,116599,365
140,32100,brooklyn,greenpoint,138579,34
141,32289,brooklyn,williamsburg,139612,280
142,32331,brooklyn,cobble hill,139874,0
143,32363,queens,flushing,140025,1
144,32965,brooklyn,bedford-stuyvesant,137974,170
145,32969,brooklyn,williamsburg,142833,188
146,33009,brooklyn,williamsburg,143027,214
147,33014,manhattan,east village,143048,248
148,33223,brooklyn,williamsburg,72014,262
149,34760,brooklyn,fort greene,149929,280
150,35526,manhattan,west village,120291,307
151,36121,brooklyn,prospect heights,62165,339
152,36133,brooklyn,williamsburg,142684,1
153,36442,brooklyn,prospect heights,137432,269
154,36647,manhattan,east harlem,157798,10
155,36703,manhattan,west village,158284,312
156,36934,brooklyn,williamsburg,159370,189
157,38638,manhattan,upper east side,92788,290
158,38663,brooklyn,boerum hill,165789,230
159,39267,manhattan,upper east side,168417,164
160,39282,brooklyn,williamsburg,168525,53
161,39593,queens,sunnyside,110506,126
162,39704,brooklyn,bedford-stuyvesant,170510,3
163,40039,brooklyn,dumbo,171851,189
164,40453,manhattan,upper east side,174025,365
165,41348,brooklyn,gowanus,180083,0
166,41513,manhattan,harlem,181167,0
167,42580,brooklyn,clinton hill,137814,336
168,42729,brooklyn,carroll gardens,11481,342
169,42882,staten island,st. george,185978,312
170,43957,brooklyn,bushwick,177536,37
171,44096,bronx,highbridge,190409,353
172,44161,brooklyn,williamsburg,193360,177
173,44212,manhattan,east village,72062,310
174,44221,manhattan,financial district,193722,0
175,44229,brooklyn,fort greene,181376,321
176,44288,manhattan,west village,193637,246
177,44506,manhattan,harlem,126607,231
178,45393,manhattan,west village,201297,225
179,45542,manhattan,harlem,202249,0
180,45556,brooklyn,fort greene,67778,0
181,45910,queens,ridgewood,204539,365
182,45936,manhattan,morningside heights,867225,233
183,45940,brooklyn,williamsburg,204724,1
184,46544,brooklyn,park slope,8198,18
185,46723,brooklyn,bedford-stuyvesant,209460,343
186,46911,brooklyn,prospect heights,210746,250
187,47199,manhattan,upper east side,212722,326
188,47362,brooklyn,bedford-stuyvesant,214148,364
189,47370,manhattan,chelsea,214287,0
190,47926,manhattan,hell's kitchen,218404,299
191,48719,manhattan,lower east side,221873,207
192,50447,brooklyn,south slope,9744,162
193,51438,manhattan,upper east side,236421,0
194,51485,manhattan,lower east side,236655,7
195,51572,manhattan,chelsea,237329,328
196,51850,queens,jamaica,27848,365
197,53137,manhattan,hell's kitchen,240360,0
198,53196,brooklyn,bedford-stuyvesant,247432,0
199,53469,queens,middle village,204539,240
200,53470,queens,ridgewood,204539,365
201,53477,queens,middle village,204539,365
202,54158,brooklyn,williamsburg,10889,164
203,54453,manhattan,hell's kitchen,255583,363
204,54466,manhattan,harlem,253385,365
205,54508,brooklyn,prospect heights,210746,250
206,54544,manhattan,harlem,256161,247
207,54626,bronx,highbridge,190409,323
208,54860,manhattan,east harlem,258164,192
209,55467,brooklyn,williamsburg,260709,125
210,55498,brooklyn,bedford-stuyvesant,262138,91
211,55668,manhattan,noho,88209,75
212,55737,manhattan,west village,263414,286
213,55959,brooklyn,williamsburg,168525,60
214,55982,brooklyn,fort greene,264928,0
215,56467,manhattan,east village,267593,192
216,56525,brooklyn,greenpoint,268014,58
217,56859,manhattan,harlem,256161,245
218,57166,queens,ditmars steinway,272006,292
219,57297,brooklyn,cobble hill,199392,279
220,57468,manhattan,east village,239208,0
221,57618,manhattan,hell's kitchen,274557,3
222,57740,manhattan,east village,275459,351
223,57754,manhattan,flatiron district,275578,201
224,57874,manhattan,harlem,276291,232
225,58059,manhattan,harlem,277379,258
226,58062,brooklyn,windsor terrace,277394,272
227,58467,manhattan,roosevelt island,279797,341
228,59014,manhattan,lower east side,282927,244
229,59121,queens,ridgewood,204539,365
230,59642,brooklyn,greenpoint,274782,12
231,59709,manhattan,chinatown,186084,265
232,59855,manhattan,midtown,288031,0
233,60164,manhattan,soho,289653,329
234,60457,manhattan,greenwich village,99212,91
235,60611,manhattan,east harlem,292204,365
236,60666,manhattan,harlem,256161,253
237,60673,manhattan,harlem,249372,365
238,60680,manhattan,east village,292630,320
239,60794,manhattan,upper west side,293394,0
240,60948,manhattan,east harlem,126607,192
241,61167,manhattan,little italy,295760,0
242,61224,manhattan,chelsea,291112,348
243,61406,manhattan,harlem,297176,0
244,61492,manhattan,chinatown,297769,353
245,61509,manhattan,midtown,23619,140
246,62095,brooklyn,east flatbush,281764,2
247,62427,manhattan,east village,303882,56
248,62430,brooklyn,bushwick,197755,68
249,62452,staten island,tompkinsville,303939,360
250,62461,staten island,tompkinsville,303939,0
251,62787,staten island,tompkinsville,303939,320
252,62891,manhattan,east village,306545,326
253,62903,manhattan,chelsea,306605,76
254,62925,brooklyn,greenpoint,306739,279
255,63299,brooklyn,williamsburg,308875,15
256,63320,staten island,tompkinsville,303939,340
257,63360,queens,astoria,307962,226
258,63546,brooklyn,kensington,308652,365
259,63573,brooklyn,park slope,310458,0
260,63588,bronx,clason point,295128,349
261,63610,bronx,eastchester,310670,365
262,63657,brooklyn,bedford-stuyvesant,170510,11
263,63693,manhattan,east village,306545,316
264,63719,brooklyn,bedford-stuyvesant,311286,281
265,63913,manhattan,inwood,312288,323
266,64000,brooklyn,williamsburg,312722,362
267,64015,manhattan,east village,146944,0
268,64107,brooklyn,crown heights,313317,301
269,64277,brooklyn,bedford-stuyvesant,311286,189
270,64314,brooklyn,crown heights,314256,0
271,64365,brooklyn,crown heights,314582,287
272,64707,manhattan,little italy,7310,14
273,64837,manhattan,east village,46978,86
274,65019,manhattan,upper west side,317809,261
275,65268,brooklyn,bedford-stuyvesant,319092,68
276,65556,brooklyn,williamsburg,320422,0
277,65562,manhattan,east village,320450,231
278,65615,brooklyn,williamsburg,320761,152
279,65660,brooklyn,williamsburg,320538,46
280,65813,manhattan,harlem,321756,364
281,65834,brooklyn,park slope,321934,246
282,66008,brooklyn,carroll gardens,322884,288
283,66026,brooklyn,crown heights,322716,331
284,66251,manhattan,east village,324460,51
285,66275,manhattan,lower east side,314941,364
286,66451,brooklyn,williamsburg,325389,254
287,66718,manhattan,harlem,136227,189
288,66741,brooklyn,park slope,327673,263
289,66974,brooklyn,gowanus,329436,258
290,67288,manhattan,east harlem,101597,103
291,67299,brooklyn,williamsburg,330347,42
292,67397,manhattan,morningside heights,332189,246
293,68099,manhattan,upper west side,323517,364
294,68305,manhattan,harlem,338454,318
295,68403,brooklyn,bedford-stuyvesant,240427,72
296,68735,manhattan,upper west side,342054,249
297,68765,brooklyn,carroll gardens,282655,272
298,68900,brooklyn,greenpoint,343250,325
299,68974,manhattan,little italy,281229,298
300,69894,manhattan,upper west side,352168,35
301,69921,brooklyn,bushwick,155689,203
302,70095,manhattan,inwood,353965,132
303,70128,manhattan,east village,354330,5
304,70609,manhattan,east village,72062,297
305,71010,manhattan,washington heights,361855,276
306,71248,manhattan,chinatown,363834,102
307,71366,manhattan,west village,364955,251
308,71384,brooklyn,greenpoint,365153,188
309,71812,bronx,kingsbridge,369015,346
310,72190,manhattan,upper west side,373085,0
311,72265,brooklyn,greenpoint,340692,15
312,74073,brooklyn,williamsburg,211877,71
313,74240,brooklyn,williamsburg,389924,215
314,74333,manhattan,east harlem,331328,253
315,74404,manhattan,harlem,391325,78
316,74680,queens,astoria,265109,257
317,74860,brooklyn,greenpoint,394752,0
318,75193,brooklyn,williamsburg,308875,8
319,75635,manhattan,lower east side,401696,191
320,76761,brooklyn,south slope,118971,182
321,77765,brooklyn,greenpoint,417504,79
322,77936,manhattan,hell's kitchen,134355,49
323,78919,brooklyn,boerum hill,422561,0
324,79067,brooklyn,clinton hill,425506,156
325,79782,brooklyn,williamsburg,430188,343
326,80493,manhattan,east village,434987,200
327,80684,brooklyn,greenpoint,417504,60
328,80700,brooklyn,greenpoint,417504,60
329,80924,brooklyn,park slope,438133,189
330,81739,brooklyn,greenpoint,417504,60
331,82549,brooklyn,brooklyn heights,448312,0
332,82550,brooklyn,brooklyn heights,448312,106
333,82638,manhattan,east village,449787,276
334,82928,brooklyn,bedford-stuyvesant,451545,248
335,83243,brooklyn,bushwick,453519,194
336,83446,brooklyn,fort greene,454756,135
337,83722,brooklyn,williamsburg,456638,30
338,83847,manhattan,east village,410094,0
339,84010,brooklyn,greenpoint,417504,81
340,84059,brooklyn,crown heights,459054,0
341,84659,manhattan,east village,462776,142
342,84905,manhattan,two bridges,464506,60
343,85094,brooklyn,crown heights,322716,179
344,86215,manhattan,lower east side,327900,52
345,89427,brooklyn,clinton hill,116599,365
346,89621,brooklyn,bedford-stuyvesant,209460,324
347,93313,brooklyn,bedford-stuyvesant,25183,237
348,94035,queens,astoria,35375,365
349,94209,brooklyn,crown heights,503800,365
350,94477,brooklyn,bedford-stuyvesant,478395,204
351,94783,brooklyn,crown heights,473113,272
352,95747,brooklyn,williamsburg,509341,0
353,95883,brooklyn,bedford-stuyvesant,509918,9
354,96471,brooklyn,clinton hill,116599,365
355,98330,manhattan,kips bay,31374,181
356,98663,manhattan,chelsea,520279,189
357,99070,manhattan,east harlem,522065,0
358,99085,brooklyn,fort greene,522164,189
359,100002,manhattan,washington heights,523218,296
360,100184,queens,queens village,526653,88
361,100186,brooklyn,gowanus,526805,35
362,101053,brooklyn,williamsburg,530032,0
363,102995,manhattan,upper west side,178043,35
364,103161,brooklyn,williamsburg,465278,359
365,103311,brooklyn,greenpoint,417504,60
366,103806,manhattan,east village,251176,365
367,105469,queens,rockaway beach,547386,335
368,105510,brooklyn,crown heights,322716,282
369,106363,manhattan,harlem,551055,247
370,106647,brooklyn,bedford-stuyvesant,552679,102
371,107630,brooklyn,greenpoint,306739,274
372,107895,manhattan,upper west side,3088389,201
373,110739,manhattan,midtown,568568,98
374,112100,brooklyn,crown heights,572527,157
375,112304,manhattan,harlem,573316,0
376,112359,manhattan,upper east side,571952,312
377,112435,brooklyn,fort greene,181376,331
378,113265,brooklyn,crown heights,314582,275
379,113945,manhattan,hell's kitchen,275582,174
380,114123,brooklyn,south slope,579495,223
381,114229,manhattan,lower east side,314941,361
382,114969,manhattan,midtown,582598,0
383,115535,manhattan,harlem,567187,283
384,115678,manhattan,harlem,127772,220
385,115748,queens,astoria,585166,363
386,116940,brooklyn,crown heights,209460,315
387,117425,brooklyn,brooklyn heights,593115,281
388,118061,brooklyn,bedford-stuyvesant,2248897,283
389,118430,manhattan,chelsea,585458,20
390,118680,manhattan,east village,599354,0
391,120362,brooklyn,williamsburg,138069,331
392,121687,brooklyn,williamsburg,262812,36
393,121861,brooklyn,park slope,611716,7
394,123784,manhattan,harlem,617990,301
395,125053,manhattan,east village,622460,170
396,125163,brooklyn,bedford-stuyvesant,622855,307
397,125594,brooklyn,kensington,308652,365
398,126443,manhattan,east village,627217,201
399,126816,manhattan,upper west side,620288,0
400,127387,brooklyn,gowanus,23276,316
401,128975,manhattan,harlem,256161,271
402,131154,brooklyn,greenpoint,275563,139
403,132516,queens,forest hills,85330,209
404,132570,manhattan,west village,651390,0
405,132695,brooklyn,williamsburg,507186,0
406,133025,manhattan,murray hill,653405,193
407,134934,brooklyn,williamsburg,652842,52
408,135393,brooklyn,east flatbush,663764,136
409,135465,brooklyn,fort greene,663879,286
410,135706,manhattan,chelsea,665013,0
411,136493,brooklyn,park slope,663384,18
412,138216,brooklyn,greenpoint,674970,9
413,139624,brooklyn,crown heights,680818,3
414,140133,brooklyn,williamsburg,622866,277
415,140425,brooklyn,crown heights,683975,0
416,140973,manhattan,east village,686147,233
417,141154,brooklyn,boerum hill,686768,221
418,141335,brooklyn,park slope,687361,355
419,141890,manhattan,nolita,689661,0
420,141984,manhattan,nolita,630453,277
421,142069,manhattan,east village,277747,0
422,144087,manhattan,harlem,616825,343
423,144148,manhattan,east village,299755,0
424,145064,brooklyn,williamsburg,404424,0
425,145188,manhattan,chelsea,703156,0
426,145994,manhattan,upper west side,706418,0
427,146754,brooklyn,windsor terrace,709434,188
428,147586,manhattan,harlem,709334,264
429,148201,manhattan,greenwich village,715807,0
430,148259,brooklyn,williamsburg,716064,331
431,148825,manhattan,upper west side,718349,236
432,149287,manhattan,upper east side,720320,0
433,149777,bronx,woodlawn,716306,309
434,150804,manhattan,lower east side,726333,0
435,151199,queens,astoria,722320,245
436,151478,brooklyn,williamsburg,216191,0
437,152071,brooklyn,park slope,731855,8
438,152078,manhattan,east village,731904,359
439,152259,manhattan,harlem,256161,333
440,152263,manhattan,harlem,732535,258
441,152520,queens,sunnyside,733894,236
442,153405,brooklyn,greenpoint,737585,22
443,153780,manhattan,east village,739499,236
444,154934,manhattan,harlem,745069,365
445,155296,brooklyn,williamsburg,656841,89
446,157673,brooklyn,bedford-stuyvesant,757166,164
447,158061,brooklyn,bedford-stuyvesant,758441,311
448,158176,brooklyn,williamsburg,573065,23
449,158290,brooklyn,clinton hill,759583,365
450,158913,brooklyn,greenpoint,762563,0
451,158955,brooklyn,williamsburg,465589,222
452,159749,brooklyn,bedford-stuyvesant,54275,238
453,159815,brooklyn,bedford-stuyvesant,54275,218
454,159913,manhattan,chelsea,759883,0
455,160609,manhattan,upper west side,769247,0
456,160994,manhattan,east village,770831,235
457,161366,queens,sunnyside,733894,246
458,161394,brooklyn,williamsburg,772300,0
459,161996,manhattan,harlem,1856604,247
460,162493,brooklyn,williamsburg,776490,15
461,162508,brooklyn,crown heights,776645,119
462,163627,brooklyn,williamsburg,242506,0
463,163809,manhattan,harlem,781647,234
464,163814,manhattan,east village,627217,257
465,163836,brooklyn,greenpoint,32169,350
466,164989,manhattan,soho,69439,221
467,165080,brooklyn,carroll gardens,787273,0
468,165461,manhattan,morningside heights,867225,201
469,165824,queens,sunnyside,733894,161
470,166006,manhattan,upper west side,791287,259
471,166172,brooklyn,bushwick,792159,0
472,166541,manhattan,washington heights,793620,222
473,166983,brooklyn,carroll gardens,795640,0
474,167013,manhattan,chelsea,306605,76
475,167017,brooklyn,park slope,795889,0
476,167222,brooklyn,park slope,22486,258
477,167482,manhattan,upper west side,789257,14
478,168084,manhattan,east village,800982,27
479,168123,brooklyn,south slope,720558,167
480,168546,manhattan,east harlem,803086,68
481,168810,manhattan,upper west side,747698,358
482,169002,manhattan,harlem,805344,59
483,169152,brooklyn,bedford-stuyvesant,806112,0
484,169306,bronx,university heights,806214,232
485,169464,brooklyn,williamsburg,806774,15
486,169483,brooklyn,gravesend,807642,0
487,170420,manhattan,east harlem,812814,0
488,170761,brooklyn,fort greene,67778,161
489,171776,manhattan,harlem,803086,88
490,172700,manhattan,lower east side,302772,337
491,172870,manhattan,harlem,781647,247
492,173072,manhattan,harlem,826192,248
493,173151,brooklyn,greenpoint,826459,287
494,173742,manhattan,gramercy,829652,304
495,174527,brooklyn,bushwick,833926,0
496,174966,manhattan,upper west side,836168,0
497,176135,brooklyn,crown heights,842125,193
498,176653,manhattan,east village,844862,43
499,176962,brooklyn,williamsburg,846309,25
500,177421,brooklyn,greenpoint,848748,127
501,177495,manhattan,chelsea,848960,0
502,177606,manhattan,kips bay,849492,303
503,179670,manhattan,lower east side,21475,345
504,179741,manhattan,nolita,314941,115
505,180507,queens,astoria,864735,200
506,180792,queens,astoria,864735,271
507,181972,manhattan,harlem,872121,12
508,182069,manhattan,east harlem,39260,268
509,182095,manhattan,west village,872805,89
510,182177,bronx,allerton,873273,347
511,182649,brooklyn,williamsburg,876054,37
512,185266,brooklyn,williamsburg,889106,0
513,187488,manhattan,west village,871727,359
514,187566,brooklyn,bedford-stuyvesant,279078,287
515,187986,manhattan,chelsea,904833,0
516,188146,brooklyn,williamsburg,906200,233
517,188661,brooklyn,prospect heights,909146,129
518,188674,manhattan,east village,909234,0
519,189135,manhattan,hell's kitchen,179020,353
520,189181,manhattan,chelsea,912541,365
521,189732,brooklyn,east new york,489400,297
522,189787,brooklyn,crown heights,915640,56
523,190267,manhattan,upper east side,918866,44
524,190542,brooklyn,bedford-stuyvesant,920542,355
525,190968,brooklyn,prospect heights,922922,156
526,190974,brooklyn,park slope,874471,273
527,191075,manhattan,east village,923915,274
528,193105,manhattan,hell's kitchen,936114,258
529,193333,brooklyn,williamsburg,302936,276
530,193393,queens,sunnyside,938056,65
531,193853,manhattan,chelsea,48599,0
532,194154,manhattan,upper west side,936830,180
533,195123,manhattan,washington heights,940724,343
534,195233,brooklyn,prospect-lefferts gardens,949221,43
535,195240,brooklyn,prospect-lefferts gardens,949221,96
536,195578,brooklyn,williamsburg,304493,59
537,195971,brooklyn,bedford-stuyvesant,953279,255
538,195989,brooklyn,park slope,611716,252
539,196010,brooklyn,park slope,953565,0
540,197155,manhattan,hell's kitchen,960836,20
541,197753,manhattan,harlem,964482,188
542,197942,brooklyn,bedford-stuyvesant,289135,304
543,199195,manhattan,harlem,971075,38
544,199312,brooklyn,williamsburg,973438,254
545,200645,manhattan,upper east side,933378,0
546,200955,manhattan,east village,568325,46
547,201992,brooklyn,park slope,988350,328
548,202273,brooklyn,bedford-stuyvesant,918087,0
549,203901,manhattan,upper east side,1000477,0
550,204065,brooklyn,clinton hill,51038,199
551,204833,brooklyn,williamsburg,903686,249
552,204959,manhattan,chinatown,464506,64
553,205043,manhattan,theater district,1007558,111
554,205485,brooklyn,bedford-stuyvesant,1010242,287
555,205735,brooklyn,bushwick,1011426,286
556,205867,brooklyn,williamsburg,1012691,263
557,206071,bronx,concourse village,12221,276
558,206316,brooklyn,fort greene,1014639,0
559,206772,brooklyn,williamsburg,1017473,263
560,206957,brooklyn,sheepshead bay,1018472,90
561,208148,brooklyn,williamsburg,1024355,0
562,208889,brooklyn,bedford-stuyvesant,1029021,11
563,209310,queens,sunnyside,1031148,287
564,211078,brooklyn,greenpoint,306739,1
565,211974,manhattan,east village,272730,0
566,212109,manhattan,west village,666271,338
567,212178,manhattan,theater district,1094178,44
568,212544,brooklyn,gowanus,1096084,0
569,213272,brooklyn,bushwick,293130,5
570,213330,manhattan,lower east side,800223,0
571,214917,staten island,emerson hill,1109658,158
572,215560,brooklyn,bedford-stuyvesant,1112560,192
573,215784,queens,long island city,864735,358
574,215907,manhattan,upper west side,1114587,31
575,217580,brooklyn,fort hamilton,1121193,241
576,218358,manhattan,harlem,1129218,285
577,219066,brooklyn,bensonhurst,447754,183
578,219482,brooklyn,clinton hill,759583,189
579,219793,manhattan,lower east side,1138692,162
580,219818,manhattan,lower east side,1138692,158
581,219922,manhattan,harlem,1139574,84
582,220351,manhattan,harlem,921500,260
583,220563,brooklyn,bedford-stuyvesant,918087,0
584,220946,manhattan,east village,1144415,166
585,221043,manhattan,noho,846050,0
586,221097,brooklyn,greenpoint,1146744,335
587,221618,manhattan,tribeca,4887492,90
588,222054,brooklyn,park slope,22486,342
589,222304,manhattan,chelsea,1153993,28
590,223930,brooklyn,prospect heights,1164642,363
591,224004,manhattan,harlem,1165231,86
592,224006,manhattan,harlem,1165231,83
593,224510,brooklyn,boerum hill,991380,0
594,225297,manhattan,midtown,1173599,0
595,225306,brooklyn,bedford-stuyvesant,1112560,264
596,225887,brooklyn,fort greene,663879,305
597,225926,brooklyn,clinton hill,1177497,356
598,225976,staten island,shore acres,1177947,278
599,226021,brooklyn,williamsburg,815977,135
600,227715,brooklyn,bedford-stuyvesant,209460,308
601,227735,manhattan,east village,1187935,229
602,228317,brooklyn,bedford-stuyvesant,1191142,273
603,228496,manhattan,west village,1192424,83
604,228517,manhattan,chinatown,1192610,281
605,228925,brooklyn,bedford-stuyvesant,1194377,321
606,228979,manhattan,hell's kitchen,1190088,303
607,229367,manhattan,east village,1097545,192
608,229874,brooklyn,sunset park,507304,0
609,230321,brooklyn,bedford-stuyvesant,1203500,36
610,230854,bronx,concourse,12221,271
611,230877,manhattan,east harlem,292204,341
612,230956,manhattan,east village,1207399,333
613,231414,manhattan,soho,1184442,210
614,232612,brooklyn,bedford-stuyvesant,1217241,231
615,232618,manhattan,east harlem,763420,308
616,233189,manhattan,hell's kitchen,1220414,292
617,233638,queens,ridgewood,1012895,311
618,233662,manhattan,midtown,1223568,264
619,234184,manhattan,harlem,902054,153
620,234870,queens,long island city,1229984,219
621,235552,brooklyn,south slope,1234405,0
622,235651,manhattan,west village,83257,332
623,235951,manhattan,midtown,1236070,120
624,235960,manhattan,lower east side,1236817,191
625,236671,brooklyn,williamsburg,1240820,248
626,236788,brooklyn,dumbo,4166168,67
627,236806,manhattan,east village,1151987,0
628,237127,manhattan,kips bay,1146958,325
629,237210,manhattan,greenwich village,1243192,249
630,239055,manhattan,chinatown,65064,0
631,239733,queens,ditmars steinway,1256874,313
632,239766,manhattan,lower east side,1257309,0
633,239826,manhattan,gramercy,1257760,12
634,239883,brooklyn,fort greene,136962,69
635,239899,brooklyn,prospect-lefferts gardens,1258363,0
636,240800,brooklyn,prospect heights,1263176,293
637,241140,brooklyn,clinton hill,1177497,363
638,241159,brooklyn,bedford-stuyvesant,1264655,4
639,241862,manhattan,west village,1269455,257
640,242532,brooklyn,clinton hill,1177497,362
641,242643,brooklyn,williamsburg,1273825,0
642,243229,brooklyn,bedford-stuyvesant,1276497,365
643,243708,brooklyn,williamsburg,288711,102
644,245504,manhattan,inwood,714200,26
645,245544,bronx,kingsbridge,1260921,302
646,245574,brooklyn,bedford-stuyvesant,1288460,280
647,245607,manhattan,chelsea,825022,302
648,246134,brooklyn,crown heights,283604,281
649,246351,manhattan,gramercy,1292250,0
650,246916,queens,elmhurst,3647,297
651,246938,manhattan,lower east side,936630,246
652,248865,brooklyn,greenpoint,417504,60
653,248871,manhattan,west village,605463,296
654,249414,manhattan,west village,1306587,0
655,249618,manhattan,washington heights,1307773,364
656,249867,brooklyn,bedford-stuyvesant,758441,281
657,250259,brooklyn,williamsburg,1311398,0
658,250311,brooklyn,crown heights,945499,0
659,250323,manhattan,chinatown,1311870,0
660,250536,manhattan,harlem,1313306,365
661,250537,manhattan,harlem,1313306,365
662,250801,manhattan,greenwich village,1314834,249
663,251262,brooklyn,williamsburg,1278802,303
